iter	Passed	Remaining
0	0	88
1	1	88
2	2	84
3	3	80
4	4	77
5	5	82
6	5	77
7	6	75
8	7	75
9	8	76
10	8	72
11	9	73
12	10	72
13	11	70
14	12	68
15	12	66
16	13	63
17	13	61
18	14	60
19	15	62
20	16	61
21	16	60
22	17	60
23	18	58
24	19	59
25	20	58
26	21	57
27	22	56
28	22	55
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	48
38	31	48
39	31	47
40	32	47
41	32	45
42	33	44
43	35	44
44	35	43
45	36	42
46	37	42
47	38	41
48	38	40
49	39	39
50	40	38
51	41	37
52	41	37
53	42	36
54	42	34
55	43	34
56	44	33
57	45	32
58	46	32
59	46	31
60	48	30
61	49	30
62	50	29
63	53	29
64	54	29
65	55	28
66	56	27
67	56	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	63	21
75	64	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	72	11
86	73	11
87	74	10
88	75	9
89	75	8
90	76	7
91	77	6
92	77	5
93	78	4
94	78	4
95	79	3
96	80	2
97	80	1
98	81	0
99	82	0
