iter	Passed	Remaining
0	145	145324
1	146	72925
2	146	48820
3	147	36752
4	148	29498
5	148	24667
6	149	21215
7	150	18612
8	150	16595
9	151	14998
10	152	13672
11	152	12560
12	153	11628
13	153	10829
14	154	10132
15	154	9524
16	155	8998
17	156	8526
18	156	8105
19	157	7727
20	158	7386
21	159	7069
22	159	6784
23	160	6527
24	161	6299
25	162	6075
26	162	5860
27	163	5671
28	164	5491
29	164	5328
30	165	5169
31	166	5025
32	166	4885
33	167	4764
34	168	4646
35	169	4528
36	169	4413
37	170	4310
38	170	4208
39	171	4110
40	171	4021
41	172	3935
42	173	3853
43	173	3775
44	174	3700
45	175	3630
46	175	3563
47	176	3498
48	177	3437
49	177	3381
50	178	3321
51	178	3262
52	179	3209
53	180	3157
54	180	3108
55	181	3061
56	182	3017
57	182	2969
58	183	2928
59	184	2887
60	184	2847
61	185	2810
62	186	2771
63	186	2734
64	187	2697
65	188	2663
66	188	2628
67	189	2598
68	190	2565
69	191	2538
70	192	2514
71	192	2486
72	193	2459
73	194	2430
74	194	2403
75	195	2377
76	196	2351
77	196	2326
78	197	2305
79	198	2279
80	198	2255
81	199	2233
82	199	2208
83	200	2186
84	201	2167
85	202	2147
86	202	2126
87	203	2105
88	203	2085
89	204	2067
90	204	2047
91	205	2030
92	206	2010
93	206	1995
94	207	1981
95	208	1964
96	209	1947
97	209	1929
98	210	1914
99	210	1897
100	211	1881
101	211	1865
102	212	1850
103	213	1836
104	213	1822
105	214	1807
106	214	1794
107	215	1780
108	216	1767
109	216	1754
110	217	1742
111	218	1729
112	218	1718
113	219	1706
114	220	1695
115	220	1683
116	221	1672
117	222	1661
118	222	1649
119	223	1638
120	224	1629
121	224	1616
122	225	1606
123	225	1596
124	226	1585
125	227	1575
126	227	1565
127	228	1555
128	229	1546
129	229	1537
130	230	1527
131	230	1517
132	231	1508
133	231	1498
134	232	1489
135	233	1481
136	233	1473
137	234	1465
138	235	1456
139	235	1447
140	236	1439
141	236	1429
142	237	1421
143	237	1412
144	238	1405
145	238	1397
146	239	1390
147	240	1383
148	240	1374
149	241	1366
150	241	1359
151	242	1351
152	242	1345
153	243	1338
154	244	1332
155	245	1326
156	245	1319
157	246	1312
158	247	1307
159	247	1301
160	248	1293
161	249	1288
162	249	1282
163	250	1276
164	251	1271
165	251	1264
166	252	1258
167	252	1252
168	253	1245
169	253	1239
170	254	1233
171	255	1228
172	255	1221
173	256	1216
174	256	1210
175	257	1205
176	257	1199
177	258	1193
178	259	1189
179	259	1184
180	260	1178
181	261	1173
182	261	1168
183	262	1163
184	262	1158
185	263	1153
186	264	1149
187	264	1144
188	265	1139
189	266	1135
190	267	1131
191	267	1127
192	268	1122
193	269	1117
194	269	1113
195	270	1108
196	270	1103
197	271	1099
198	272	1095
199	272	1090
200	273	1086
201	273	1081
202	274	1077
203	274	1072
204	275	1068
205	276	1065
206	276	1060
207	277	1057
208	278	1052
209	278	1048
210	279	1045
211	280	1042
212	281	1038
213	281	1035
214	282	1031
215	283	1027
216	283	1023
217	284	1019
218	284	1015
219	285	1011
220	285	1007
221	286	1003
222	286	999
223	287	995
224	288	992
225	288	988
226	289	985
227	289	981
228	290	977
229	291	974
230	291	970
231	292	967
232	292	964
233	293	961
234	294	958
235	294	954
236	295	951
237	296	948
238	296	944
239	297	941
240	297	938
241	298	935
242	299	932
243	300	930
244	300	926
245	301	923
246	301	920
247	302	916
248	303	914
249	303	910
250	304	908
251	304	905
252	305	902
253	306	899
254	306	895
255	307	893
256	307	890
257	308	887
258	309	885
259	309	882
260	310	880
261	311	878
262	312	875
263	312	872
264	313	869
265	314	866
266	314	863
267	315	860
268	315	857
269	316	854
270	316	851
271	317	848
272	317	846
273	318	843
274	318	840
275	319	838
276	320	835
277	320	833
278	321	830
279	321	827
280	322	825
281	323	822
282	323	819
283	324	817
284	324	814
285	325	812
286	326	810
287	326	807
288	327	805
289	327	802
290	328	800
291	329	798
292	330	796
293	330	794
294	331	792
295	332	789
296	332	787
297	333	785
298	334	783
299	334	780
300	335	778
301	335	776
302	336	774
303	337	772
304	337	770
305	339	769
306	339	766
307	340	764
308	341	762
309	341	760
310	342	758
311	342	756
312	343	754
313	344	752
314	344	749
315	345	747
316	346	745
317	346	743
318	347	741
319	347	739
320	348	736
321	348	734
322	349	732
323	350	730
324	350	728
325	351	726
326	352	724
327	352	722
328	353	720
329	353	718
330	354	717
331	355	716
332	356	714
333	357	712
334	357	710
335	358	709
336	359	707
337	360	705
338	360	703
339	361	702
340	362	700
341	362	698
342	363	696
343	364	694
344	364	692
345	365	690
346	366	688
347	366	686
348	367	684
349	367	683
350	368	681
351	369	679
352	369	677
353	370	675
354	370	673
355	371	672
356	372	670
357	372	668
358	373	666
359	373	664
360	374	663
361	375	661
362	376	659
363	376	658
364	377	656
365	377	654
366	378	652
367	378	650
368	379	648
369	380	647
370	380	645
371	381	644
372	382	642
373	383	641
374	383	639
375	384	637
376	385	636
377	385	634
378	386	633
379	387	631
380	387	630
381	388	628
382	389	626
383	389	625
384	390	623
385	391	622
386	391	620
387	392	619
388	392	617
389	393	615
390	394	614
391	394	612
392	395	611
393	396	609
394	396	607
395	397	605
396	397	604
397	398	603
398	399	601
399	400	600
400	400	598
401	401	597
402	402	595
403	402	594
404	403	592
405	404	591
406	404	589
407	405	588
408	406	586
409	406	585
410	407	583
411	408	582
412	408	580
413	409	579
414	409	577
415	410	576
416	410	574
417	411	573
418	412	571
419	412	570
420	413	568
421	414	567
422	414	565
423	415	564
424	416	563
425	416	561
426	417	560
427	417	558
428	418	557
429	419	555
430	419	553
431	420	552
432	420	550
433	421	549
434	421	547
435	422	546
436	422	544
437	423	543
438	424	541
439	424	540
440	425	538
441	425	537
442	426	536
443	427	535
444	428	534
445	428	532
446	429	531
447	430	530
448	430	528
449	431	527
450	432	526
451	433	524
452	433	523
453	434	522
454	434	520
455	435	519
456	436	518
457	436	516
458	437	515
459	437	513
460	438	512
461	439	511
462	439	510
463	440	508
464	441	507
465	441	506
466	442	505
467	443	504
468	444	502
469	444	501
470	445	500
471	446	499
472	446	497
473	447	496
474	447	495
475	448	493
476	448	492
477	449	490
478	450	489
479	450	488
480	451	487
481	452	485
482	452	484
483	453	483
484	453	482
485	454	480
486	455	479
487	456	478
488	456	477
489	457	476
490	458	474
491	458	473
492	459	472
493	460	471
494	460	470
495	461	468
496	461	467
497	462	466
498	463	465
499	463	463
500	464	462
501	465	461
502	465	460
503	466	459
504	467	457
505	467	456
506	468	455
507	469	454
508	469	453
509	470	451
510	470	450
511	471	449
512	472	448
513	472	446
514	473	445
515	473	444
516	474	443
517	475	442
518	475	440
519	476	439
520	476	438
521	477	437
522	477	435
523	478	434
524	479	433
525	479	432
526	480	431
527	481	429
528	481	428
529	482	427
530	483	426
531	483	425
532	484	424
533	484	423
534	485	422
535	486	420
536	486	419
537	487	418
538	487	417
539	488	416
540	489	415
541	489	414
542	490	413
543	491	412
544	492	410
545	493	409
546	493	408
547	494	407
548	494	406
549	495	405
550	496	404
551	496	403
552	497	402
553	497	400
554	498	400
555	499	398
556	500	397
557	500	396
558	501	395
559	501	394
560	502	393
561	502	391
562	503	390
563	504	389
564	505	389
565	506	388
566	506	387
567	507	385
568	507	384
569	508	383
570	509	382
571	509	381
572	510	380
573	510	378
574	511	377
575	511	376
576	512	375
577	512	374
578	513	373
579	514	372
580	514	371
581	515	370
582	515	368
583	516	367
584	516	366
585	517	365
586	518	364
587	518	363
588	519	362
589	519	361
590	520	360
591	521	359
592	521	358
593	522	356
594	522	355
595	523	354
596	524	353
597	524	352
598	525	351
599	526	350
600	526	349
601	527	348
602	528	347
603	528	346
604	529	345
605	530	344
606	531	343
607	531	342
608	532	341
609	532	340
610	533	339
611	534	338
612	534	337
613	535	336
614	535	335
615	536	334
616	537	333
617	538	332
618	539	331
619	539	330
620	540	329
621	540	328
622	541	327
623	542	326
624	542	325
625	543	324
626	543	323
627	544	322
628	545	321
629	546	320
630	546	319
631	547	318
632	548	317
633	548	316
634	549	315
635	550	314
636	550	313
637	551	312
638	552	311
639	552	311
640	553	310
641	554	309
642	555	308
643	555	307
644	556	306
645	557	305
646	557	304
647	558	303
648	559	302
649	560	301
650	560	300
651	561	299
652	562	298
653	562	297
654	563	296
655	564	295
656	564	294
657	565	293
658	565	292
659	566	291
660	567	290
661	567	289
662	568	289
663	569	287
664	569	286
665	570	285
666	570	284
667	571	284
668	571	282
669	572	282
670	573	281
671	574	280
672	574	279
673	575	278
674	575	277
675	576	276
676	577	275
677	577	274
678	578	273
679	578	272
680	579	271
681	580	270
682	580	269
683	581	268
684	582	267
685	583	267
686	584	266
687	584	265
688	585	264
689	585	263
690	586	262
691	587	261
692	588	260
693	588	259
694	589	258
695	590	257
696	590	256
697	591	255
698	591	254
699	592	253
700	593	253
701	594	252
702	594	251
703	595	250
704	596	249
705	597	248
706	598	248
707	599	247
708	599	246
709	600	245
710	601	244
711	601	243
712	602	242
713	603	241
714	603	240
715	604	239
716	605	238
717	605	237
718	606	237
719	607	236
720	608	235
721	608	234
722	609	233
723	609	232
724	610	231
725	611	230
726	611	229
727	612	228
728	613	228
729	614	227
730	614	226
731	615	225
732	616	224
733	616	223
734	617	222
735	618	221
736	619	220
737	619	220
738	620	219
739	621	218
740	621	217
741	622	216
742	623	215
743	623	214
744	624	213
745	625	212
746	626	212
747	627	211
748	627	210
749	628	209
750	629	208
751	630	207
752	630	206
753	631	205
754	631	205
755	632	204
756	633	203
757	634	202
758	635	201
759	635	200
760	636	199
761	637	199
762	638	198
763	638	197
764	639	196
765	640	195
766	641	194
767	642	193
768	642	193
769	643	192
770	644	191
771	644	190
772	645	189
773	645	188
774	646	187
775	647	186
776	647	185
777	648	184
778	648	184
779	649	183
780	650	182
781	650	181
782	651	180
783	652	179
784	652	178
785	653	177
786	654	177
787	654	176
788	655	175
789	655	174
790	656	173
791	657	172
792	657	171
793	658	170
794	659	169
795	659	169
796	660	168
797	660	167
798	661	166
799	662	165
800	663	164
801	663	163
802	664	162
803	665	162
804	665	161
805	666	160
806	667	159
807	667	158
808	668	157
809	669	157
810	670	156
811	670	155
812	671	154
813	671	153
814	672	152
815	673	151
816	673	150
817	674	150
818	675	149
819	675	148
820	676	147
821	677	146
822	677	145
823	678	144
824	679	144
825	679	143
826	680	142
827	680	141
828	681	140
829	681	139
830	682	138
831	683	137
832	683	137
833	684	136
834	685	135
835	685	134
836	686	133
837	686	132
838	687	131
839	688	131
840	688	130
841	689	129
842	690	128
843	690	127
844	691	126
845	692	125
846	692	125
847	693	124
848	693	123
849	694	122
850	695	121
851	695	120
852	696	120
853	697	119
854	697	118
855	698	117
856	699	116
857	699	115
858	700	114
859	701	114
860	701	113
861	702	112
862	703	111
863	703	110
864	704	109
865	705	109
866	705	108
867	706	107
868	706	106
869	707	105
870	708	104
871	708	104
872	709	103
873	709	102
874	710	101
875	710	100
876	711	99
877	712	98
878	712	98
879	713	97
880	713	96
881	714	95
882	715	94
883	716	93
884	716	93
885	717	92
886	717	91
887	718	90
888	718	89
889	719	88
890	720	88
891	720	87
892	721	86
893	722	85
894	722	84
895	723	83
896	723	83
897	724	82
898	725	81
899	725	80
900	726	79
901	727	78
902	727	78
903	728	77
904	728	76
905	729	75
906	730	74
907	730	74
908	731	73
909	731	72
910	732	71
911	733	70
912	734	69
913	734	69
914	735	68
915	735	67
916	736	66
917	736	65
918	737	65
919	738	64
920	738	63
921	739	62
922	740	61
923	740	60
924	741	60
925	741	59
926	742	58
927	743	57
928	743	56
929	744	56
930	745	55
931	745	54
932	746	53
933	747	52
934	747	51
935	748	51
936	748	50
937	749	49
938	749	48
939	750	47
940	751	47
941	751	46
942	752	45
943	752	44
944	753	43
945	754	43
946	754	42
947	755	41
948	755	40
949	756	39
950	756	38
951	757	38
952	757	37
953	758	36
954	759	35
955	759	34
956	760	34
